text,trans
みんなの前で披露できるのが楽しみね！,모두의 앞에서 선보이는 게 기다려지네!
今週、ビジュアルレッスンさせて！,"이번 주, 비주얼 레슨 시켜줘!"
ねえ、あんた\r\nなんかふゆに言うことない？,"저기, 너\r\n뭔가 후유에게 말할 거 없어?"
……はあ\r\nま、レッスンしなくても、ふゆは十分可愛いんだけど！,"……하아 \r\n뭐, 레슨 하지 않아도, 후유는 충분히 귀엽지만!"
ねえ、今週ボーカルレッスンしてもいい?,"저기, 이번 주 보컬 레슨 해도 돼?"
今週ダンスレッスン、準備してよね！！,"이번 주에 댄스 레슨, 준비해줘!!"
今日、トレーナーに褒められたの！,"오늘, 트레이너에게 칭찬받았어!"
なんか、今日は調子がいいわ！\r\nダンスレッスンのおかげね！,"왠지, 오늘은 상태가 좋아! \r\n댄스 레슨 덕분이네!"
冬優子、お疲れ様\r\nどうだった？,"후유코, 수고 했어\r\n어땠어?"
なんだか、ドキドキして……\r\n夢でも見てたみたいです……,"뭔가, 두근두근 해서……\r\n꿈에서 봤던 것 같아요……"
はは、夢みたいか\r\nでも、冬優子は立派にステージをこなしたんだぞ,"하하, 꿈 같은 거구나\r\n하지만, 후유코는 훌륭하게 스테이지를 소화했다구"
本当ですか？\r\nふゆ……ちゃんとできてましたか？,정말인가요? \r\n후유…… 제대로 했던 건가요?
ああ、もちろんだ\r\nきっと、色んな人に冬優子の笑顔が届くぞ,"그럼, 물론이야\r\n분명, 여러 사람에게 후유코의 미소가 닿았을 거야"
色んな人に……\r\nえへへっ！　本当にそうなったら嬉しいです！,여러 사람에게……\r\n에헤헷! 정말로 그렇게 되면 기쁘겠네요!
ふゆ、もっと色んな人に笑顔を届けたいです！\r\nそれで、みーんなに笑顔になってもらえたら……,"후유, 좀 더 여러 사람에게 미소를 전하고 싶어요! \r\n그래서, 모두를 미소짓게 만들 수 있다면……"
ふゆ、とってもとっても、嬉しいなって！,"후유, 무척 무척, 기쁠 텐데 말이죠!"
（冬優子の願いが叶うように……\r\n俺ももっと頑張らないとな！）,( 후유코의 소원이 이루어질 수 있도록……\r\n나도 좀 더 노력해야 해! )
この前、自分が出ている番組、\r\nまとめて見返してみたんすよ！,"이전에, 제가 나오는 방송, \r\n정리해서 다시 봤슴다!"
大事なことだな,소중한 거구나
それで、あさひのことだ\r\n何か新しい発見があったんだろう？,"그래서, 아사히의 일이니까\r\n뭔가 새로운 발견이 있던 거지?"
はいっす！\r\nカメラに映った時の自分と普段の自分,맞슴다! \r\n카메라에 비쳤을 때의 자신과 평상시의 자신
なんであんなに違って見えるんすかね,어째서 그렇게 달라 보일까요
今度カメラを分解してみようと思うっす！,이번에 카메라를 분해 해보려고 생각함다!
お、おぉ、いいんじゃないか,"오, 오오, 괜찮잖아"
歌いたいっす！　プロデューサーさん！,노래하고 싶슴다! 프로듀서님!
二週間後、ボーカルレッスン、お願いしたいっす！,"2주일 후, 보컬 레슨, 부탁하고 싶슴다!"
やったっす～！　今からワクワクっす～♪,해냈슴다~! 벌써부터 두근두근함다~ ♪
え～！　つまんないっす～！\r\nむ～……,에~! 재미없슴다~! \r\n무~……
昨日テレビ見てたんすよ！\r\nそしたらやってたんすよ！　すごいダンス！,어제 TV 봤슴다! \r\n그랬더니 하고 있었슴다! 굉장한 댄스!
ダンスレッスン、一週間後にやっていいっすか？,"댄스 레슨, 일주일 후에 해도 괜찮슴까?"
ダンスレッスン、二週間後にやっていいっすか？,"댄스 레슨, 2주일 후에 해도 괜찮슴까?"
うーん……今回はダメだったっすね……,으ー음……이번엔 안됐던 검다……
そんなに気を落とさなくていいぞ\r\n長くやっていればこういうこともあるさ,그렇게 낙심하지 않아도 괜찮아\r\n긴 시간동안 하다보면 이런 일도 있는거야
プロデューサーさんはなんだと思うっすか？,프로듀서님은 뭐라고 생각함까?
今回ダメだった原因\r\nわたしはやっぱりアピールのタイミングだと思うっす,이번에 안됐던 원인\r\n저는 역시 어필의 타이밍이라고 생각함다
確かに、今回のあさひは少しアピールをするタイミングが\r\nいつもと違ってたな,"확실히, 이번 아사히는 조금 어필을 하는 타이밍이\r\n평상시와는 달랐지"
そうなんすよ、変えてみたんすけど\r\n上手くいかなかったみたいっす,"맞슴다, 바꿔 본 거지만\r\n잘 되지 않았던 것 같슴다"
次の方法を考えないとダメっすね,다음 방법을 생각하지 않으면 안되겠네요
プロデューサーさん、ごめんっす！\r\nひとりで試してみたら転んじゃったっす,"프로듀서님, 죄송함다! \r\n혼자서 시험해 봤더니 넘어져 버렸슴다"
足、ちょっとだけ痛むっすね……,"다리, 조금이지만 아픔다……"
任せて……ください\r\nプロデューサーさん……！,맡겨…… 주세요\r\n프로듀서님……!
『可愛い』ってすっごく深いっす……！,『귀여움』이란 건 굉장히 심오함다……!
プロデューサーさん、ありがとっす！\r\n今度『可愛い』について語りたいっす！,"프로듀서님, 감사함다! \r\n이번엔 『귀여움』에 대해서 말하고 싶슴다!"
すごかったっすね！　プロデューサーさん！,굉장했슴다! 프로듀서님!
お、おお、急にどうしたんだ,"오, 오오, 갑자기 무슨일이니"
見たことがない機械がいっぱいだったっすよ～！,본 적이 없는 기계가 가득했슴다~!
見慣れないと新鮮だよな,낯설면 신선하구나
はいっす！\r\nプロデューサーさん、もう１回、見てきていいっすか！,"맞슴다! \r\n프로듀서님, 한번 더, 보고 와도 괜찮슴까!"
あ、ああいいけど迷惑にならないように──,"아, 응 괜찮지만 민폐는 끼치지 않도록──"
やったっす～！　じゃあ見てくるっす！,좋았슴다~! 그럼 보고 오겠슴다!
あ！　ちょっと待てって！,아! 조금 기다리라니까!
（これじゃ、出演の感想を言うどころじゃないな……）,"(이래서야, 출연의 감상을 말할 분위기가 아니네……)"
今週、ボーカルレッスン、お願いしたいっす！,"이번 주, 보컬 레슨, 부탁드리고 싶슴다!"
思いっきり歌ったら、声の通りがよくなったって\r\n褒められたっすよ！,"마음껏 노래했더니, 소리의 느낌이 좋아졌다고\r\n칭찬받았슴다!"
プロデューサーさんが予定、組んでくれた\r\nおかげっすね！,"프로듀서님이 예정을, 짜 준\r\n덕분임다!"
『可愛い』って何なのか、もっと知りたいっす！,"『귀여움』이란 건 뭔지, 더욱 알고 싶슴다!"
一週間後、ビジュアルレッスンしたいっす！,"일주일 후, 비주얼 레슨 하고 싶슴다!"
一週間後、ボーカルレッスン、お願いしたいっす！,"일주일 후, 보컬 레슨, 부탁하고 싶슴다!"
あ～、歌いたいっす～！\r\nプロデューサーさん、歌いたいっす～！,"아~ , 노래하고 싶슴다~! \r\n프로듀서님, 노래하고 싶슴다~!"
ここで歌っちゃってもいいっすか！？,여기서 노래해 버려도 괜찮슴까!?
ダンスレッスン、今週やっていいっすか？,"댄스 레슨, 이번 주 해도 됨까?"
踊れるようになったっす！　テレビで見たダンス！,춤출 수 있게 됐슴다! 텔레비전에서 본 댄스!
もしかしたら、自分のダンスにも生かせるかもっすね……\r\nありがとっす、プロデューサーさん！,"어쩌면, 제 댄스에도 살릴 수 있을지도 모르겠슴다……\r\n감사함다, 프로듀서님!"
今週、ビジュアルレッスンしたいっす！,"이번 주, 비주얼 레슨이 하고 싶슴다!"
うーん……『可愛い』の謎は深まるばかりっすねぇ……,으ー음……『귀여움』의 수수께끼는 깊어지기만 하는 검다……
プロデューサーさんっ、私、\r\nもっと大きな声が出せるようになりたくて……,"프로듀서님, 저, \r\n좀 더 큰 목소리를 내고 싶어요……"
今週にボーカルレッスンがしたいです,이번 주에 보컬 레슨이 하고 싶어요
今週ボーカルレッスンがしたいです,이번 주 보컬 레슨이 하고 싶어요
そうですか……わかりました,그런가요…… 알겠습니다
ほわぁ、たくさん歌いました,"호와아, 잔뜩 노래했어요"
声が出やすくなった気がしますっ\r\n約束守ってくれてありがとうございました,목소리가 더 잘 나오는 기분이에요 \r\n약속을 지켜주셔서 감사합니다
ほわ……、レッスンできませんでした……,"호와……, 레슨 못 했어요……"
今度はお願いしますねっ,다음엔 부탁드릴게요
あまり成果が出ませんでした……,별로 성과가 없었어요……
次はもっと頑張りますね,다음엔 좀 더 노력할게요
プロデューサーさん\r\n私、ダンスの動きにキレがない気がして……,"프로듀서님 \r\n저, 댄스 출 때 각이 안잡히는 것 같아요……"
もっとダンスレッスンをしたいですっ\r\n今週にレッスンすることはできますか？,좀 더 댄스 레슨이 하고싶어요\r\n이번 주에 레슨을 받을 수 있을까요?
ほわぁ、たくさんダンスしました,"호와, 잔뜩 춤을 췄어요"
動きにキレが出てきたように思います\r\nありがとうございましたっ,움직임이 조금 각이 잡힌 것 같아요\r\n감사합니다
ダンスレッスンの日でしたよね……？,댄스 레슨 날이었죠……?
準備万端で待っていました！　……ほわっ\r\nもしかして私の勘違いだったんでしょうか……？,준비만전으로 기다리고 있었어요! ……호와\r\n혹시 제가 착각한 건가요……?
私、まだまだお化粧とか慣れてなくて……,"저, 아직 화장이 익숙하지가 않아서요……"
今週、ビジュアルレッスンで勉強したいですっ,"이번 주, 비주얼 레슨으로 공부가 하고 싶어요"
ほわ、お化粧の仕方、いろいろ勉強しました,"호와, 화장하는 방법, 여러가지 배웠어요"
少しだけ上達した気がします\r\nありがとうございましたっ,조금은 능숙해진 거 같아요 \r\n감사합니다
ほわ、ビジュアルレッスンの日ですよ,"호와, 비주얼 레슨 하기로 한 날인데요"
